Dimension,Name,Adjective,Demonym
City,Durango,Durangoan,"Duranguense, Durangoan"
City,Durban,Durban,Durbanite
City,East Troy,East Trojan,East Trojan
City,Edinburgh,Edinburgensian,"Embran, Edinburger"
City,Edmonton,Edmontonian,Edmontonian
City,Eilat,Eilatian,Eilatian
City,Épalinges,Palinsard,Palinsard
City,Epidaurus,Epidaurian,Epidaurian
City,Erzurum,Erzurumian,Erzurumian
City,Eskişehir,Eskishehirian,Eskishehirian
City,Everett,Everettite,Everettite
City,Exeter,Exonian,Exonian
City,Famagusta,Salaminioti,Salaminioti
City,Fargo,Fargoan,Fargoan
City,Ferrara,Ferrarese,Ferrarese
City,Fethiye,Fethiyennese,Fethiyennese
City,Filettino,Filettinesi,Filettinesi
City,Finchley,Finchleian,Finchleian
City,Florence,Florentine,Florentine
City,Fort Lauderdale,,"Fort Lauderdaler, Fort Lauderdalian"
City,Fort Wayne,,Fort Wayner
City,Fort Worth,,"Fort Worthian, Fort Worther"
City,Foz do Iguaçu,Iguaçuense,Iguaçuense
City,Frankfurt,Frankfurter,Frankfurter
City,Fredericton,Frederictonian,Frederictonian
City,Fresno,Fresnan,"Fresnan, Fresnoan, Fresnian"
City,Galway,Galway,Galwegian
City,Gaza,Gazan,Gazan
City,Gaziantep,Antepian,Antepian
City,Gibraltar,Gibraltarian,
City,Geelong,Geelong,"Geelongite, Pivotonian"
City,Geneva,"Genevan, Genevese, Genfer","Genevan, Genevese, Genfer"
City,Genoa,Genoese,Genoese
City,Germiston,Germistonian,Germistonian
City,Ghent,Ghentian,Ghentian
City,Glasgow,Glaswegian,"Glaswegian, Weegie"
City,Godalming,Godhelmian,"Godhelmian, Godalminger"
City,Gold Coast,Gold Coast,Gold Coaster
City,Gosford,Gosford,Gosfordian
City,Gothenburg,Gothenburger,Gothenburger
City,Granada,"Granadino, Granadí, Iliberitano","Granadino, Iliberitano"
City,Grand Rapids,Grand Rapidian,Grand Rapidian
City,Graz,Grazer,Grazer
City,Grenoble,Grenoblois,Grenoblois
City,Guadalajara,Tapatío,Tapatío
City,"Guangzhou, Canton",Cantonese,Cantonese
City,Guayaquil,Guayaquilean,Guayaquilean
City,Guelph,Guelphite,Guelphite
City,Gumi,"Gumi, Gumite",Gumite
City,Gwangju,"Gwangju, Gwangjuite",Gwangjuite
City,Gyeongju,"Gyeongju, Gyeongjuite",Gyeongjuite
City,The Hague,Haguer,Haguer
City,Haifa,Haifan,Haifan
City,Halifax,Haligonian,Haligonian
City,Hamburg,Hamburgian,Hamburger
City,Hamilton,Hamiltonian,Hamiltonian
City,Hamilton,Hamiltonian,Hamiltonian
City,Hanoi,Hanoian,Hanoian
City,Hanover,Hanoverian,Hanoverian
City,Harbin,Harbinite,Harbinite
City,Harrisburg,Harrisburger,Harrisburger
City,Hartlepool,Hartlepudlian,"Hartlepudlian, Monkey hanger"
City,Hastings,Hastingite,Hastingite
City,Hastings,Hastinger,Hastinger
City,Hatay,Hatayan,Hatayan
City,Havana,"Habanero , Habanera ","Habanero , Habanera "
City,Helsinki,Helsinkian,Helsinkian
City,Ho Chi Minh City,Saigonese,Saigoner
City,Hobart,Hobartian,Hobartian
City,Holon,Holonian,Holonian
